models,Source->Target,AUC,P,R,F1
SM5,EQ->ML,0.531011069,0.136904762,0.563265306,0.220271349
SM5,JDT->ML,0.418863352,0.10828877,0.330612245,0.163141994
SM5,LC->ML,0.48566254,0.125977411,0.591836735,0.20773639
SM5,PDE->ML,0.543735565,0.176068376,0.420408163,0.248192771
SM5,EQ->PDE,0.573917501,0.15420023,0.641148325,0.248608534
SM5,JDT->PDE,0.580873503,0.260869565,0.200956938,0.227027027
SM5,LC->PDE,0.592668058,0.367741935,0.272727273,0.313186813
SM5,ML->PDE,0.627119305,0.316384181,0.267942584,0.29015544
SM6,JDT->EQ,0.5,0.398148148,1,0.569536424
SM6,LC->EQ,0.826734248,0.822222222,0.286821705,0.425287356
SM6,ML->EQ,0.824289406,0.816326531,0.310077519,0.449438202
SM6,PDE->EQ,0.5,0.398148148,1,0.569536424
SM6,EQ->JDT,0.649715243,0.27184466,0.951456311,0.422869471
SM6,LC->JDT,0.5,0.20661986,1,0.34247714
SM6,ML->JDT,0.5020068,0.207035176,1,0.34304746
SM6,PDE->JDT,0.716105336,0.315044248,0.86407767,0.461738003
SM6,EQ->LC,0.706588915,0.165079365,0.8125,0.274406332
SM6,JDT->LC,0.5,0.092619392,1,0.169536424
SM6,ML->LC,0.763992723,0.352272727,0.484375,0.407894737
SM6,PDE->LC,0.746486244,0.233695652,0.671875,0.346774194
SM6,EQ->ML,0.476959095,0.123726346,0.693877551,0.210006177
SM6,JDT->ML,0.632820921,0.25607064,0.473469388,0.332378223
SM6,LC->ML,0.500234751,0.131051753,0.640816327,0.217602218
SM6,PDE->ML,0.535110371,0.134037368,0.673469388,0.223577236
SM6,EQ->PDE,0.5,0.139612558,1,0.245017585
SM6,JDT->PDE,0.5,0.139612558,1,0.245017585
SM6,LC->PDE,0.715476314,0.316872428,0.368421053,0.340707965
SM6,ML->PDE,0.742306606,0.404040404,0.38277512,0.393120393
SM7,JDT->EQ,0.576386404,0.757575758,0.19379845,0.308641975
SM7,LC->EQ,0.580322004,0.717948718,0.217054264,0.333333333
SM7,ML->EQ,0.569827072,0.869565217,0.15503876,0.263157895
SM7,PDE->EQ,0.61639833,0.85,0.263565891,0.402366864
SM7,EQ->JDT,0.584653812,0.240993789,0.941747573,0.383778437
SM7,LC->JDT,0.729284548,0.380510441,0.796116505,0.514913658
SM7,ML->JDT,0.605547237,0.285388128,0.606796117,0.388198758
SM7,PDE->JDT,0.702889301,0.37037037,0.72815534,0.490998363
SM7,EQ->LC,0.652026017,0.141666667,0.796875,0.240566038
SM7,JDT->LC,0.585451555,0.318181818,0.21875,0.259259259
SM7,ML->LC,0.534277811,0.454545455,0.078125,0.133333333
SM7,PDE->LC,0.602982955,0.25,0.296875,0.271428571
SM7,EQ->ML,0.474706246,0.123830094,0.702040816,0.210526316
SM7,JDT->ML,0.607359307,0.261363636,0.375510204,0.308207705
SM7,LC->ML,0.562028448,0.161882893,0.575510204,0.252688172
SM7,PDE->ML,0.533642548,0.150666667,0.46122449,0.227135678
SM7,EQ->PDE,0.56354015,0.162215628,0.784688995,0.268852459
SM7,JDT->PDE,0.656431098,0.359375,0.440191388,0.395698925
SM7,LC->PDE,0.600125561,0.340782123,0.291866029,0.31443299
SM7,ML->PDE,0.560629588,0.327586207,0.181818182,0.233846154
SM8,JDT->EQ,0.673126615,0.869565217,0.15503876,0.263157895
SM8,LC->EQ,0.816537468,0.941176471,0.124031008,0.219178082
SM8,ML->EQ,0.720373683,1,0.139534884,0.244897959
SM8,PDE->EQ,0.675929239,0.947368421,0.139534884,0.243243243
SM8,EQ->JDT,0.748309256,0.266955267,0.898058252,0.411568409
SM8,LC->JDT,0.828565905,0.707142857,0.480582524,0.572254335
SM8,ML->JDT,0.826691051,0.725806452,0.218446602,0.335820896
SM8,PDE->JDT,0.807252096,0.722689076,0.417475728,0.529230769
SM8,EQ->LC,0.790146531,0.176870748,0.8125,0.290502793
SM8,JDT->LC,0.675052333,0.666666667,0.1875,0.292682927
SM8,ML->LC,0.771306818,0.833333333,0.078125,0.142857143
SM8,PDE->LC,0.754223983,0.842105263,0.25,0.385542169
SM8,EQ->ML,0.583202706,0.151152074,0.669387755,0.246616541
SM8,JDT->ML,0.611058524,0.452631579,0.175510204,0.252941176
SM8,LC->ML,0.640484394,0.423357664,0.236734694,0.303664921
SM8,PDE->ML,0.638429695,0.415492958,0.240816327,0.304909561
SM8,EQ->PDE,0.649818717,0.173371648,0.866028708,0.288906624
SM8,JDT->PDE,0.724692784,0.554216867,0.220095694,0.315068493
SM8,LC->PDE,0.725641921,0.528571429,0.177033493,0.265232975
SM8,ML->PDE,0.748562364,0.48,0.114832536,0.185328185
UM1,EQ,0.822162592,0.650793651,0.635658915,0.643137255
