Source->Target,Model1,Model2,p,m1m2 all right,m1 right m2 wrong,m1 wrong m2 right,m1m2 all wrong,If exists diversity
Zxing-Apache,SM6,SM7,0.089555074,68,12,5,13,N
Zxing-Apache,SM6,SM8,3.48E-08,39,41,4,14,Y
Zxing-Apache,SM7,SM8,1.14E-06,39,34,4,21,Y
Zxing-Safe,SM1,SM2,0.000311491,3,0,13,6,Y
Zxing-Safe,SM1,SM3,0.083264517,3,0,3,16,N
Zxing-Safe,SM1,SM4,0.003892417,2,1,11,8,Y
Zxing-Safe,SM1,SM5,0.058781721,2,1,6,13,N
Zxing-Safe,SM1,SM6,0.000182811,3,0,14,5,Y
Zxing-Safe,SM1,SM7,0.002281937,2,1,12,7,Y
Zxing-Safe,SM1,SM8,0.011412036,2,1,9,10,Y
Zxing-Safe,SM2,SM3,0.003892417,5,11,1,5,Y
Zxing-Safe,SM2,SM4,0.179712495,12,4,1,5,N
Zxing-Safe,SM2,SM5,0.011412036,7,9,1,5,Y
Zxing-Safe,SM2,SM6,0.563702862,15,1,2,4,N
Zxing-Safe,SM2,SM7,0.414216178,12,4,2,4,N
Zxing-Safe,SM2,SM8,0.025347319,11,5,0,6,Y
Zxing-Safe,SM3,SM4,0.034808479,4,2,9,7,Y
Zxing-Safe,SM3,SM5,0.479500122,3,3,5,11,N
Zxing-Safe,SM3,SM6,0.000911119,6,0,11,5,Y
Zxing-Safe,SM3,SM7,0.011412036,5,1,9,7,Y
Zxing-Safe,SM3,SM8,0.095580705,4,2,7,9,N
Zxing-Safe,SM4,SM5,0.095580705,6,7,2,7,N
Zxing-Safe,SM4,SM6,0.102470435,12,1,5,4,N
Zxing-Safe,SM4,SM7,0.705456986,10,3,4,5,N
Zxing-Safe,SM4,SM8,0.317310508,10,3,1,8,N
Zxing-Safe,SM5,SM6,0.006655605,7,1,10,4,Y
Zxing-Safe,SM5,SM7,0.033894854,7,1,7,7,Y
Zxing-Safe,SM5,SM8,0.317310508,5,3,6,8,N
Zxing-Safe,SM6,SM7,0.179712495,13,4,1,4,N
Zxing-Safe,SM6,SM8,0.014305878,11,6,0,5,Y
Zxing-Safe,SM7,SM8,0.179712495,10,4,1,7,N
Safe-Apache,SM1,SM2,0.000245733,40,7,29,22,Y
Safe-Apache,SM1,SM3,0.028459737,26,21,9,42,Y
Safe-Apache,SM1,SM4,1.86E-06,43,4,33,18,Y
Safe-Apache,SM1,SM5,0.033894854,37,10,22,29,Y
Safe-Apache,SM1,SM6,1.55E-07,43,4,38,13,Y
Safe-Apache,SM1,SM7,1.56E-05,40,7,35,16,Y
Safe-Apache,SM1,SM8,9.89E-05,40,7,31,20,Y
Safe-Apache,SM2,SM3,1.46E-08,34,35,1,28,Y
Safe-Apache,SM2,SM4,0.008150972,69,0,7,22,Y
Safe-Apache,SM2,SM5,0.001565402,59,10,0,29,Y
Safe-Apache,SM2,SM6,0.001340641,68,1,13,16,Y
Safe-Apache,SM2,SM7,0.033894854,68,1,7,22,Y
Safe-Apache,SM2,SM8,0.317310508,68,1,3,26,N
Safe-Apache,SM3,SM4,4.04E-10,34,1,42,21,Y
Safe-Apache,SM3,SM5,2.52E-06,34,1,25,38,Y
Safe-Apache,SM3,SM6,1.18E-11,35,0,46,17,Y
Safe-Apache,SM3,SM7,6.74E-10,34,1,41,22,Y
Safe-Apache,SM3,SM8,5.22E-09,34,1,37,26,Y
Safe-Apache,SM4,SM5,3.74E-05,59,17,0,22,Y
Safe-Apache,SM4,SM6,0.165517859,72,4,9,13,N
Safe-Apache,SM4,SM7,0.73888268,71,5,4,18,N
Safe-Apache,SM4,SM8,0.025347319,71,5,0,22,Y
Safe-Apache,SM5,SM6,2.73E-06,59,0,22,17,Y
Safe-Apache,SM5,SM7,6.33E-05,59,0,16,23,Y
Safe-Apache,SM5,SM8,0.000532006,59,0,12,27,Y
Safe-Apache,SM6,SM7,0.157299207,69,12,6,11,N
Safe-Apache,SM6,SM8,0.007526315,69,12,2,15,Y
Safe-Apache,SM7,SM8,0.102470435,70,5,1,22,N
Safe-Zxing,SM1,SM2,0.130570018,41,18,10,49,N
Safe-Zxing,SM1,SM3,1,54,5,5,54,N
Safe-Zxing,SM1,SM4,0.002281937,22,37,15,44,Y
Safe-Zxing,SM1,SM5,0.003275897,23,36,15,44,Y
Safe-Zxing,SM1,SM6,2.78E-08,20,39,3,56,Y
Safe-Zxing,SM1,SM7,1.28E-08,16,43,4,55,Y
Safe-Zxing,SM1,SM8,5.36E-07,19,40,6,53,Y
Safe-Zxing,SM2,SM3,0.144127035,40,11,19,48,N
Safe-Zxing,SM2,SM4,0.019630657,26,25,11,56,Y
Safe-Zxing,SM2,SM5,0.023635102,28,23,10,57,Y
Safe-Zxing,SM2,SM6,2.43E-05,15,36,8,59,Y
Safe-Zxing,SM2,SM7,1.61E-07,18,33,2,65,Y
Safe-Zxing,SM2,SM8,4.30E-06,22,29,3,64,Y
Safe-Zxing,SM3,SM4,0.002755077,21,38,16,43,Y
Safe-Zxing,SM3,SM5,0.003275897,23,36,15,44,Y
Safe-Zxing,SM3,SM6,5.22E-09,22,37,1,58,Y
Safe-Zxing,SM3,SM7,2.53E-08,15,44,5,54,Y
Safe-Zxing,SM3,SM8,2.42E-06,16,43,9,50,Y
Safe-Zxing,SM4,SM5,0.875896058,17,20,21,60,N
Safe-Zxing,SM4,SM6,0.010587137,15,22,8,73,Y
Safe-Zxing,SM4,SM7,0.000673859,16,21,4,77,Y
Safe-Zxing,SM4,SM8,0.010515246,20,17,5,76,Y
Safe-Zxing,SM5,SM6,0.016309172,11,27,12,68,Y
Safe-Zxing,SM5,SM7,0.001015001,14,24,6,74,Y
Safe-Zxing,SM5,SM8,0.019550269,16,22,9,71,Y
Safe-Zxing,SM6,SM7,0.466854271,13,10,7,88,N
Safe-Zxing,SM6,SM8,0.669815358,13,10,12,83,N
Safe-Zxing,SM7,SM8,0.058781721,19,1,6,92,N
