models,Source->Target,AUC,P,R,F1
SM1,KC3->PC2,0.357233907,0.012861736,0.25,0.024464832
SM1,MC1->PC2,0.530612651,,0,
SM1,MC2->PC2,0.445267686,0.02764977,0.375,0.051502146
SM1,MW1->PC2,0.377469726,0,0,
SM1,PC1->PC2,0.552740599,0.095238095,0.125,0.108108108
SM1,PC3->PC2,0.5,,0,
SM1,PC4->PC2,0.372709528,0.006044325,0.5625,0.011960133
SM1,PC5->PC2,0.444670172,0.038461538,0.0625,0.047619048
SM1,CM1->PC3,0.600772299,0.189189189,0.6,0.287671233
SM1,JM1->PC3,0.32768673,0.097916667,0.671428571,0.170909091
SM1,KC1->PC3,0.702559826,0.210300429,0.35,0.262734584
SM1,KC3->PC3,0.545293691,0.185446009,0.564285714,0.279151943
SM1,MC1->PC3,0.499492386,,0,
SM1,MC2->PC3,0.39004351,0.161073826,0.171428571,0.166089965
SM1,MW1->PC3,0.549985497,0.325301205,0.192857143,0.242152466
SM1,PC1->PC3,0.545329949,0.3,0.021428571,0.04
SM1,PC2->PC3,0.5,,0,
SM1,PC4->PC3,0.622102973,0.119360902,0.907142857,0.210963455
SM1,PC5->PC3,0.468741842,0.333333333,0.028571429,0.052631579
SM1,CM1->PC4,0.60742254,0.121212121,0.786516854,0.210052513
SM1,JM1->PC4,0.681079701,0.195530726,0.196629213,0.196078431
SM1,KC1->PC4,0.374941336,0.127677806,0.837078652,0.221561338
SM1,KC3->PC4,0.544281258,0.099019608,0.56741573,0.168614357
SM1,MC1->PC4,0.5,0.127233738,1,0.225745086
SM1,MC2->PC4,0.553789489,0.10877193,0.696629213,0.188163885
SM1,MW1->PC4,0.537632628,0.125544267,0.971910112,0.222365039
SM1,PC1->PC4,0.502047502,0.1276901,1,0.226463104
SM1,PC2->PC4,0.5,0.127233738,1,0.225745086
SM1,PC3->PC4,0.5,0.127233738,1,0.225745086
SM1,PC5->PC4,0.505820427,0.121278141,0.938202247,0.214790997
SM1,CM1->PC5,0.659325294,0.063411897,0.673956262,0.115917251
SM1,JM1->PC5,0.260110208,0.012882138,0.26640159,0.024575883
SM1,KC1->PC5,0.794655874,0.052774019,0.465208748,0.09479441
SM1,KC3->PC5,0.251884499,0.043186583,0.204771372,0.07132964
SM1,MC1->PC5,0.611707739,,0,
SM1,MC2->PC5,0.894830616,0.179844961,0.922465209,0.301005514
SM1,MW1->PC5,0.375806261,0.333333333,0.033797217,0.061371841
SM1,PC1->PC5,0.589990485,0.534482759,0.184890656,0.274741507
SM1,PC2->PC5,0.5,,0,
SM1,PC3->PC5,0.5,,0,
SM1,PC4->PC5,0.442181015,0.028027909,0.934393638,0.054423344
SM2,JM1->CM1,0.341926837,0.116207951,0.904761905,0.20596206
SM2,KC1->CM1,0.514309366,0.032786885,0.047619048,0.038834951
SM2,KC3->CM1,0.485730054,0.13368984,0.595238095,0.218340611
SM2,MC1->CM1,0.639821823,0.285714286,0.047619048,0.081632653
SM2,MC2->CM1,0.438781142,0.170731707,0.166666667,0.168674699
SM2,MW1->CM1,0.424708294,0.25,0.023809524,0.043478261
SM2,PC1->CM1,0.558498896,0.314285714,0.261904762,0.285714286
SM2,PC2->CM1,0.5,,0,
SM2,PC3->CM1,0.613647114,0.196721311,0.285714286,0.233009709
SM2,PC4->CM1,0.713773258,0.136666667,0.976190476,0.239766082
SM2,PC5->CM1,0.592478713,0.125,0.261904762,0.169230769
SM2,CM1->JM1,0.440564213,0.181434599,0.977828312,0.306077053
SM2,KC1->JM1,0.420443395,0.151964116,0.635588403,0.245283019
SM2,KC3->JM1,0.48196561,0.162238276,0.753268903,0.26697562
SM2,MC1->JM1,0.582639369,0.177822926,0.945423536,0.299342993
SM2,MC2->JM1,0.474478494,0.162348877,0.801591814,0.27001149
SM2,MW1->JM1,0.47339671,0.180067354,0.972711768,0.30388065
SM2,PC1->JM1,0.481025262,0.1803382,0.976122797,0.304432624
SM2,PC2->JM1,0.5,0.183362869,1,0.309901339
SM2,PC3->JM1,0.42591607,0.17984,0.958499147,0.302856116
SM2,PC4->JM1,0.488348844,0.36996337,0.057418988,0.099409449
SM2,PC5->JM1,0.403161363,0.154125366,0.627629335,0.247478144
SM2,CM1->KC1,0.574542848,,0,
SM2,JM1->KC1,0.371932415,0.142433234,0.886153846,0.245419685
SM2,KC3->KC1,0.456343656,0.265895954,0.141538462,0.184738956
SM2,MC1->KC1,0.505312948,0.25,0.003076923,0.006079027
SM2,MC2->KC1,0.552159145,0.5375,0.132307692,0.212345679
SM2,MW1->KC1,0.577689267,1,0.030769231,0.059701493
SM2,PC1->KC1,0.587235373,0.35,0.021538462,0.04057971
SM2,PC2->KC1,0.5,,0,
SM2,PC3->KC1,0.5,,0,
SM2,PC4->KC1,0.516370586,0.155279503,1,0.268817204
SM2,PC5->KC1,0.656174261,0.278350515,0.166153846,0.208092486
SM2,CM1->KC3,0.5,,0,
SM2,JM1->KC3,0.41548103,0.148809524,0.694444444,0.245098039
SM2,KC1->KC3,0.60298103,0.273809524,0.638888889,0.383333333
SM2,MC1->KC3,0.577235772,,0,
SM2,MC2->KC3,0.510840108,0.5,0.027777778,0.052631579
SM2,MW1->KC3,0.422679539,0.222222222,0.055555556,0.088888889
SM2,PC1->KC3,0.5,,0,
SM2,PC2->KC3,0.5,,0,
SM2,PC3->KC3,0.625,0.5,0.111111111,0.181818182
SM2,PC4->KC3,0.420138889,0.164102564,0.888888889,0.277056277
SM2,PC5->KC3,0.539041328,0.180722892,0.416666667,0.25210084
SM2,CM1->MC1,0.609659349,0.022222222,0.014705882,0.017699115
SM2,JM1->MC1,0.337645238,0.007152289,0.955882353,0.01419834
SM2,KC1->MC1,0.661064464,0.006451613,0.058823529,0.011627907
SM2,KC3->MC1,0.737540162,0.044270833,0.75,0.083606557
SM2,MC2->MC1,0.290983724,0.054545455,0.132352941,0.077253219
SM2,MW1->MC1,0.503764699,0,0,
SM2,PC1->MC1,0.525210312,0.072727273,0.058823529,0.06504065
SM2,PC2->MC1,0.5,,0,
SM2,PC3->MC1,0.62833114,0.052631579,0.102941176,0.069651741
SM2,PC4->MC1,0.252600557,0.00319052,0.411764706,0.006331976
SM2,PC5->MC1,0.455649205,0.018932874,0.161764706,0.033898305
SM2,CM1->MC2,0.661692223,0.666666667,0.227272727,0.338983051
SM2,JM1->MC2,0.422918949,0.3125,0.795454545,0.448717949
SM2,KC1->MC2,0.574479737,0.409090909,0.409090909,0.409090909
SM2,KC3->MC2,0.495618839,0.333333333,0.363636364,0.347826087
SM2,MC1->MC2,0.333789704,,0,
SM2,MW1->MC2,0.44975356,1,0.022727273,0.044444444
SM2,PC1->MC2,0.380202629,0.5,0.045454545,0.083333333
SM2,PC2->MC2,0.5,,0,
SM2,PC3->MC2,0.5,,0,
SM2,PC4->MC2,0.5266977,0.347107438,0.954545455,0.509090909
SM2,PC5->MC2,0.548192771,0.416666667,0.340909091,0.375
SM2,CM1->MW1,0.610876699,0.4,0.074074074,0.125
SM2,JM1->MW1,0.464681982,0.093023256,0.888888889,0.168421053
SM2,KC1->MW1,0.460853258,0.137931034,0.296296296,0.188235294
SM2,KC3->MW1,0.653305204,0.366666667,0.407407407,0.385964912
SM2,MC1->MW1,0.489451477,0,0,
SM2,MC2->MW1,0.67721519,0.333333333,0.444444444,0.380952381
SM2,PC1->MW1,0.5,,0,
SM2,PC2->MW1,0.5,,0,
SM2,PC3->MW1,0.33091108,0.071428571,0.037037037,0.048780488
SM2,PC4->MW1,0.5,0.102272727,1,0.18556701
SM2,PC5->MW1,0.463588061,0.125,0.37037037,0.186915888
SM2,CM1->PC1,0.587944478,0.333333333,0.163934426,0.21978022
SM2,JM1->PC1,0.326577106,0.066565809,0.721311475,0.121883657
SM2,KC1->PC1,0.585372728,0.095057034,0.409836066,0.154320988
SM2,KC3->PC1,0.530696604,0.124463519,0.475409836,0.197278912
SM2,MC1->PC1,0.451547748,0.4,0.131147541,0.197530864
SM2,MC2->PC1,0.441683499,0.178082192,0.213114754,0.194029851
SM2,MW1->PC1,0.435330452,0.75,0.049180328,0.092307692
SM2,PC2->PC1,0.5,,0,
SM2,PC3->PC1,0.638487012,0.368421053,0.229508197,0.282828283
SM2,PC4->PC1,0.473965428,0.075880759,0.918032787,0.140175219
SM2,PC5->PC1,0.567311757,0.109375,0.344262295,0.166007905
SM2,CM1->PC2,0.502868069,0,0,
SM2,JM1->PC2,0.471618069,0.00952381,0.9375,0.018856065
SM2,KC1->PC2,0.798398662,0.031141869,0.5625,0.059016393
SM2,KC3->PC2,0.431385437,0.008707301,0.8125,0.017229954
SM2,MC1->PC2,0.688495857,0.017278618,0.5,0.033402923
SM2,MC2->PC2,0.525832537,0.055555556,0.0625,0.058823529
SM2,MW1->PC2,0.697438655,0.136363636,0.375,0.2
SM2,PC1->PC2,0.695845284,0.076923077,0.125,0.095238095
SM2,PC3->PC2,0.808436902,0.02247191,0.25,0.041237113
SM2,PC4->PC2,0.255278043,0.002597403,0.1875,0.005123826
SM2,PC5->PC2,0.502190886,0.014545455,0.5,0.028268551
SM2,CM1->PC3,0.620612763,0.333333333,0.035714286,0.064516129
