models,Source->Target,AUC,P,R,F1
SM1,lucene-2.4->prop-6,0.473637894,0.092378753,0.606060606,0.160320641
SM1,poi-3.0->prop-6,0.645775941,0.126984127,0.848484848,0.220907298
SM1,tomcat->prop-6,0.424369962,0.092767296,0.893939394,0.168091168
SM1,xalan-2.7->prop-6,0.505892256,0.1,1,0.181818182
SM1,ant-1.7->tomcat,0.776319071,0.197952218,0.753246753,0.313513514
SM1,camel-1.6->tomcat,0.674593013,0.207207207,0.597402597,0.307692308
SM1,ivy-2.0->tomcat,0.290495036,0.07002457,0.74025974,0.127946128
SM1,jedit-4.0->tomcat,0.621688811,0.139072848,0.272727273,0.184210526
SM1,log4j-1.2->tomcat,0.548289738,0.030864198,0.064935065,0.041841004
SM1,lucene-2.4->tomcat,0.396494671,0.048582996,0.155844156,0.074074074
SM1,poi-3.0->tomcat,0.398074397,0.037974684,0.155844156,0.061068702
SM1,prop-6->tomcat,0.367685452,0.069482289,0.662337662,0.125770654
SM1,xalan-2.7->tomcat,0.497439181,,0,
SM1,ant-1.7->xalan-2.7,0.363383276,0.981848185,0.662583519,0.791223404
SM1,camel-1.6->xalan-2.7,0.477120875,0.985855728,0.776169265,0.868535826
SM1,ivy-2.0->xalan-2.7,0.602449889,1,0.027839644,0.054171181
SM1,jedit-4.0->xalan-2.7,0.470388743,0.986046512,0.708240535,0.824368114
SM1,log4j-1.2->xalan-2.7,0.18596882,0.986935867,0.925389755,0.955172414
SM1,lucene-2.4->xalan-2.7,0.403269893,0.986324786,0.642538976,0.778152394
SM1,poi-3.0->xalan-2.7,0.776574205,0.995934959,0.818485523,0.898533007
SM1,prop-6->xalan-2.7,0.606904232,1,0.099109131,0.180344478
SM1,tomcat->xalan-2.7,0.524498886,0.987341772,0.95545657,0.971137521
SM2,camel-1.6->ant-1.7,0.611721497,0.469798658,0.421686747,0.444444444
SM2,ivy-2.0->ant-1.7,0.248813908,0.207810321,0.897590361,0.337485844
SM2,jedit-4.0->ant-1.7,0.653453191,0.45323741,0.379518072,0.413114754
SM2,log4j-1.2->ant-1.7,0.604823439,0.076923077,0.012048193,0.020833333
SM2,lucene-2.4->ant-1.7,0.292574443,0.073593074,0.102409639,0.085642317
SM2,poi-3.0->ant-1.7,0.347873359,0.098181818,0.162650602,0.12244898
SM2,prop-6->ant-1.7,0.376948207,0.195301028,0.801204819,0.314049587
SM2,tomcat->ant-1.7,0.537153797,0.6,0.198795181,0.298642534
SM2,xalan-2.7->ant-1.7,0.490053478,,0,
SM2,ant-1.7->camel-1.6,0.547933952,0.368421053,0.074468085,0.123893805
SM2,ivy-2.0->camel-1.6,0.477364523,0.189859763,0.936170213,0.315695067
SM2,jedit-4.0->camel-1.6,0.514947698,0.184713376,0.154255319,0.168115942
SM2,log4j-1.2->camel-1.6,0.55440661,0.19047619,0.042553191,0.069565217
SM2,lucene-2.4->camel-1.6,0.452042088,0.131979695,0.276595745,0.178694158
SM2,poi-3.0->camel-1.6,0.463546373,0.156498674,0.313829787,0.208849558
SM2,prop-6->camel-1.6,0.45461609,0.189859763,0.936170213,0.315695067
SM2,tomcat->camel-1.6,0.516125168,0.125,0.005319149,0.010204082
SM2,xalan-2.7->camel-1.6,0.512870013,,0,
SM2,ant-1.7->ivy-2.0,0.342267628,0.071186441,0.525,0.125373134
SM2,camel-1.6->ivy-2.0,0.40244391,0.084745763,0.625,0.149253731
SM2,jedit-4.0->ivy-2.0,0.361738782,0.082733813,0.575,0.144654088
SM2,log4j-1.2->ivy-2.0,0.635016026,0.116618076,1,0.208877285
SM2,lucene-2.4->ivy-2.0,0.603165064,0.174863388,0.8,0.286995516
SM2,poi-3.0->ivy-2.0,0.705408654,0.171296296,0.925,0.2890625
SM2,prop-6->ivy-2.0,0.540544872,0.176470588,0.075,0.105263158
SM2,tomcat->ivy-2.0,0.406570513,0.095384615,0.775,0.169863014
SM2,xalan-2.7->ivy-2.0,0.5,0.113960114,1,0.204603581
SM2,ant-1.7->jedit-4.0,0.623924964,0.58490566,0.413333333,0.484375
SM2,camel-1.6->jedit-4.0,0.61018759,0.418181818,0.613333333,0.497297297
SM2,ivy-2.0->jedit-4.0,0.293823954,0.229452055,0.893333333,0.365122616
SM2,log4j-1.2->jedit-4.0,0.557200577,0.032258065,0.013333333,0.018867925
SM2,lucene-2.4->jedit-4.0,0.346897547,0.149122807,0.226666667,0.17989418
SM2,poi-3.0->jedit-4.0,0.439336219,0.123893805,0.186666667,0.14893617
SM2,prop-6->jedit-4.0,0.5,0.245098039,1,0.393700787
SM2,tomcat->jedit-4.0,0.693044733,0.75,0.24,0.363636364
SM2,xalan-2.7->jedit-4.0,0.478672439,0,0,
SM2,ant-1.7->log4j-1.2,0.455853175,0.917582418,0.883597884,0.900269542
